NOM_SCIENTIFIQUE,ENJEU_CONSERVATION,NOM_MATCHING
"Anthyllis vulneraria subsp. rubriflora Arcang., 1882 ",MOY,Anthyllis vulneraria subsp. rubriflora 
"Anthyllis vulneraria subsp. vulneraria L., 1753 ",DD,Anthyllis vulneraria subsp. vulneraria 
"Anthyllis vulneraria subsp. vulnerarioides (All.)  Arcang., 1894 ",DD,Anthyllis vulneraria subsp. vulnerarioides 
"Antinoria insularis Parl., 1845 ",FOR,Antinoria insularis
"Antirrhinum majus subsp. latifolium (Mill.) Bonnier &  Layens, 1894 ",MOY,Antirrhinum majus subsp. latifolium 
"Antirrhinum majus subsp. majus L., 1753 ",MOY,Antirrhinum majus subsp. majus 
"Antirrhinum majus subsp. tortuosum (Bosc) Ball, 1878 2 ",FOR,Antirrhinum majus subsp. tortuosum 
"Apera interrupta (L.) P.Beauv., 1812 ",FOR,Apera interrupta
"Apera spica-venti (L.) P.Beauv., 1812 ",MOY,Apera spica-venti
"Aphanes arvensis L., 1753 ",MOY,Aphanes arvensis
"Aphanes australis Rydb., 1908 ",MOY,Aphanes australis
"Aphanes cornucopioides Lag., 1816 ",DD,Aphanes cornucopioides
"Aphanes floribunda (Murb.) Rothm., 1937 ",FOR,Aphanes floribunda
"Aphanes microcarpa (Boiss. & Reut.) Rothm., 1937 ",DD,Aphanes microcarpa
"Aphanes minutiflora (Azn.) Holub, 1970 ",MOY,Aphanes minutiflora
"Aphyllanthes monspeliensis L., 1753 ",MOY,Aphyllanthes monspeliensis
"Apium graveolens L., 1753 ",MOY,Apium graveolens
"Aposeris foetida (L.) Less., 1832 ",FOR,Aposeris foetida
"Aquilegia alpina L., 1753 ",MOY,Aquilegia alpina
"Aquilegia atrata W.D.J.Koch, 1830 ",MOY,Aquilegia atrata
"Aquilegia bernardii Gren., 1847 ",FOR,Aquilegia bernardii
"Aquilegia dumeticola Jord., 1860 ",MOY,Aquilegia dumeticola
"Aquilegia hirsutissima Timb.-Lagr., 1872 ",TFO,Aquilegia hirsutissima
"Aquilegia litardierei Briq., 1910 ",TFO,Aquilegia litardierei
"Aquilegia reuteri Boiss., 1854 ",MOY,Aquilegia reuteri
"Aquilegia viscosa Gouan, 1764 ",TFO,Aquilegia viscosa
"Aquilegia vulgaris L., 1753 ",MOY,Aquilegia vulgaris
"Arabidopsis cebennensis (DC.) O'Kane & Al-Shehbaz,  1997 ",FOR,Arabidopsis cebennensis
"Arabidopsis thaliana (L.) Heynh., 1842 ",MOY,Arabidopsis thaliana
"Arabis allionii DC., 1805 ",TFO,Arabis allionii
"Arabis alpina L., 1753 ",FAI,Arabis alpina
"Arabis auriculata Lam., 1783 ",MOY,Arabis auriculata
"Arabis bellidifolia subsp. stellulata (Bertol.) Greuter &  Burdet, 1983 ",DD,Arabis bellidifolia subsp. stellulata 
"Arabis caerulea (All.) Haenke, 1789 ",MOY,Arabis caerulea
"Arabis ciliata Clairv., 1811 ",MOY,Arabis ciliata
"Arabis collina Ten., 1815 ",MOY,Arabis collina
"Arabis hirsuta (L.) Scop., 1772 ",FAI,Arabis hirsuta
"Arabis nova Vill., 1779 ",MOY,Arabis nova
"Arabis parvula L.M.Dufour, 1821 ",FOR,Arabis parvula
"Arabis planisiliqua (Pers.) Rchb., 1838 ",MOY,Arabis planisiliqua
"Arabis sagittata (Bertol.) DC., 1815 ",MOY,Arabis sagittata
"Arabis scabra All., 1773 ",DD,Arabis scabra
"Arabis serpillifolia Vill., 1779 ",MOY,Arabis serpillifolia
"Arabis soyeri subsp. soyeri Reut. & A.L.P.Huet, 1853 ",DD,Arabis soyeri subsp. soyeri 
"Arabis soyeri subsp. subcoriacea (Gren.) Breistr., 1947 2 ",MOY,Arabis soyeri subsp. subcoriacea 
"Arabis verna (L.) R.Br., 1812 ",MOY,Arabis verna
"Arbutus unedo L., 1753 ",MOY,Arbutus unedo
"Arceuthobium gambyi Fridl., 2015 ",DD,Arceuthobium gambyi
"Arceuthobium oxycedri (DC.) M.Bieb., 1819 ",MOY,Arceuthobium oxycedri
"Arctium lappa L., 1753 ",MOY,Arctium lappa
"Arctium minus (Hill) Bernh., 1800 ",MOY,Arctium minus
"Arctium nemorosum Lej., 1833 ",MOY,Arctium nemorosum
"Arctium tomentosum Mill., 1768 ",DD,Arctium tomentosum
"Arctostaphylos alpinus (L.) Spreng., 1825 ",MOY,Arctostaphylos alpinus
"Arctostaphylos uva-ursi (L.) Spreng., 1825 ",MOY,Arctostaphylos uva-ursi
"Arenaria aggregata (L.) Loisel., 1827 ",MOY,Arenaria aggregata
"Arenaria balearica L., 1768 ",MOY,Arenaria balearica
"Arenaria bertolonii Fiori, 1898 ",MOY,Arenaria bertolonii
"Arenaria biflora L., 1767 ",MOY,Arenaria biflora
"Arenaria cinerea DC., 1815 ",FOR,Arenaria cinerea
"Arenaria controversa Boiss., 1840 ",FOR,Arenaria controversa
"Arenaria grandiflora L., 1759 ",MOY,Arenaria grandiflora
"Arenaria hispida L., 1753 ",FOR,Arenaria hispida
"Arenaria leptoclados (Rchb.) Guss., 1844 ",MOY,Arenaria leptoclados
"Arenaria ligericina Lecoq & Lamotte, 1847 ",TFO,Arenaria ligericina
"Arenaria marschlinsii W.D.J.Koch, 1841 ",MOY,Arenaria marschlinsii
"Arenaria modesta Dufour, 1821 ",FOR,Arenaria modesta
"Arenaria montana L., 1755 ",MOY,Arenaria montana
"Arenaria multicaulis L., 1759 ",MOY,Arenaria multicaulis
"Arenaria provincialis Chater & G.Halliday, 1964 ",TFO,Arenaria provincialis
"Arenaria purpurascens Ramond ex DC., 1805 ",FOR,Arenaria purpurascens
"Arenaria serpyllifolia L., 1753 ",MOY,Arenaria serpyllifolia
"Argentina anserina (L.) Rydb., 1899 ",FOR,Argentina anserina
"Argyrolobium zanonii (Turra) P.W.Ball, 1968 ",MOY,Argyrolobium zanonii
"Arisarum vulgare O.Targ.Tozz., 1810 ",MOY,Arisarum vulgare
"Aristolochia clematitis L., 1753 ",MOY,Aristolochia clematitis
"Aristolochia clusii Lojac., 1907 ",DD,Aristolochia clusii
"Aristolochia pallida Willd., 1805 ",MOY,Aristolochia pallida
"Aristolochia paucinervis Pomel, 1874 ",MOY,Aristolochia paucinervis
"Aristolochia pistolochia L., 1763 ",MOY,Aristolochia pistolochia
"Aristolochia rotunda L., 1753 ",MOY,Aristolochia rotunda
"Aristolochia rotunda subsp. insularis (E.Nardi &  Arrigoni) Gamisans, 1985 ",TFO,Aristolochia rotunda subsp. insularis 
"Aristolochia rotunda subsp. rotunda L., 1753 ",MOY,Aristolochia rotunda subsp. rotunda 
"Aristolochia tyrrhena E.Nardi & Arrigoni, 1983 ",TFO,Aristolochia tyrrhena
"Armeria alpina Willd., 1809 ",MOY,Armeria alpina
"Armeria arenaria (Pers.) Schult., 1820 ",FAI,Armeria arenaria
"Armeria arenaria subsp. arenaria (Pers.) Schult., 1820 ",MOY,Armeria arenaria subsp. arenaria 
"Armeria arenaria subsp. bilibitana (Bernis) Nieto Fel.,  1987 ",MOY,Armeria arenaria subsp. bilibitana 
"Armeria arenaria subsp. bupleuroides (Godr. & Gren.)  Greuter & Burdet, 1989 ",MOY,Armeria arenaria subsp. bupleuroides 
"Armeria arenaria subsp. pradetensis Médail, Baumel  & Auda, 2009 ",TFO,Armeria arenaria subsp. pradetensis 
"Armeria arenaria subsp. praecox (Jord.) Kerguélen,  1987 ",DD,Armeria arenaria subsp. praecox 
"Armeria belgenciensis Donad. ex Kerguélen, 1987 ",TFO,Armeria belgenciensis
"Armeria girardii (Bernis) Litard., 1955 ",TFO,Armeria girardii
"Armeria leucocephala Salzm. ex W.D.J.Koch, 1823 ",FOR,Armeria leucocephala
"Armeria malinvaudii H.J.Coste & Soulié, 1911 ",TFO,Armeria malinvaudii
"Armeria muelleri A.L.P.Huet, 1853 ",FOR,Armeria muelleri
"Armeria multiceps Wallr., 1844 ",FOR,Armeria multiceps
"Armeria pungens (Link) Hoffmanns. & Link, 1820 ",TFO,Armeria pungens
"Armeria ruscinonensis subsp. littorifuga (Bernis)  Malag., 1976 ",TFO,Armeria ruscinonensis subsp. littorifuga 
"Armeria ruscinonensis subsp. ruscinonensis Girard,  1844 ",TFO,Armeria ruscinonensis subsp. ruscinonensis 
"Armeria soleirolii (Duby) Godr., 1853 ",TFO,Armeria soleirolii
"Arnica montana L., 1753 ",MOY,Arnica montana
"Arnoseris minima (L.) Schweigg. & Körte, 1811 ",MOY,Arnoseris minima
"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl &  C.Presl, 1819 ",MOY,Arrhenatherum elatius
"Arrhenatherum elatius subsp. bulbosum (Willd.)  Schübl. & G.Martens, 1834 ",MOY,Arrhenatherum elatius subsp. bulbosum 
"Arrhenatherum elatius subsp. elatius (L.) P.Beauv. ex  J.Presl & C.Presl, 1819 ",MOY,Arrhenatherum elatius subsp. elatius 
"Arrhenatherum elatius subsp. sardoum (Em.Schmid)  Gamisans, 1974 ",DD,Arrhenatherum elatius subsp. sardoum 
"Artemisia absinthium L., 1753 ",FAI,Artemisia absinthium
"Artemisia alba Turra, 1764 ",MOY,Artemisia alba
"Artemisia arborescens (Vaill.) L., 1763 ",FOR,Artemisia arborescens
"Artemisia armeniaca Lam., 1783 ",FOR,Artemisia armeniaca
"Artemisia atrata Lam., 1783 ",FOR,Artemisia atrata
"Artemisia borealis Pall., 1776 ",MOY,Artemisia borealis
"Artemisia caerulescens subsp. caerulescens L., 1753 ",FOR,Artemisia caerulescens subsp. caerulescens 
"Artemisia caerulescens subsp. densiflora (Viv.)  Gamisans ex Kerguélen & Lambinon, 1987 ",TFO,Artemisia caerulescens subsp. densiflora 
"Artemisia caerulescens subsp. gallica (Willd.) K.Perss.,  1974 ",FOR,Artemisia caerulescens subsp. gallica 
"Artemisia campestris L., 1753 ",MOY,Artemisia campestris
"Artemisia campestris subsp. alpina (DC.) Arcang., 1882 ",DD,Artemisia campestris subsp. alpina 
"Artemisia campestris subsp. campestris L., 1753 ",MOY,Artemisia campestris subsp. campestris 
"Artemisia campestris subsp. glutinosa (J.Gay ex  Besser) Batt., 1889 ",MOY,Artemisia campestris subsp. glutinosa 
"Artemisia chamaemelifolia Vill., 1779 ",MOY,Artemisia chamaemelifolia
"Artemisia eriantha Ten., 1831 ",MOY,Artemisia eriantha
"Artemisia genipi Weber, 1775 ",MOY,Artemisia genipi
"Artemisia glacialis L., 1763 ",MOY,Artemisia glacialis
"Artemisia insipida Vill., 1779 ",TFO,Artemisia insipida
"Artemisia molinieri Quézel, M.Barbero & R.J.Loisel,  1966 ",TFO,Artemisia molinieri
"Artemisia umbelliformis Lam., 1783 ",MOY,Artemisia umbelliformis
"Artemisia vulgaris L., 1753 ",MOY,Artemisia vulgaris
"Arthrocnemum macrostachyum (Moric.) K.Koch, 1853 2 ",MOY,Arthrocnemum macrostachyum
"Arum cylindraceum Gasp., 1844 ",MOY,Arum cylindraceum
"Arum italicum Mill., 1768 ",MOY,Arum italicum
"Arum maculatum L., 1753 ",MOY,Arum maculatum
"Arum pictum L.f., 1782 ",MOY,Arum pictum
"Aruncus dioicus (Walter) Fernald, 1939 ",MOY,Aruncus dioicus
"Arundo donaciformis (Loisel.) Hardion, Verlaque &  B.Vila, 2012 ",TFO,Arundo donaciformis
"Arundo donax L., 1753 ",MOY,Arundo donax
"Arundo micrantha Lam., 1791 ",TFO,Arundo micrantha
"Asarina procumbens Mill., 1768 ",MOY,Asarina procumbens
"Asarum europaeum L., 1753 ",MOY,Asarum europaeum
"Asparagus acutifolius L., 1753 ",MOY,Asparagus acutifolius
"Asparagus albus L., 1753 ",MOY,Asparagus albus
"Asparagus maritimus (L.) Mill., 1768 ",MOY,Asparagus maritimus
"Asparagus officinalis subsp. officinalis L., 1753 ",MOY,Asparagus officinalis subsp. officinalis 
"Asparagus tenuifolius Lam., 1783 ",MOY,Asparagus tenuifolius
"Asperugo procumbens L., 1753 ",MOY,Asperugo procumbens
"Asperula aristata subsp. aristata L.f., 1782 ",DD,Asperula aristata subsp. aristata 
"Asperula aristata subsp. oreophila (Briq.) Hayek, 1924 ",DD,Asperula aristata subsp. oreophila 
"Asperula arvensis L., 1753 ",FOR,Asperula arvensis
"Asperula cynanchica L., 1753 ",MOY,Asperula cynanchica
"Asperula hexaphylla All., 1785 ",FOR,Asperula hexaphylla
"Asperula laevigata L., 1767 ",MOY,Asperula laevigata
"Asperula purpurea (L.) Ehrend., 1973 ",MOY,Asperula purpurea
"Asperula pyrenaica L., 1753 ",FOR,Asperula pyrenaica
"Asperula taurina L., 1753 ",MOY,Asperula taurina
"Asperula tinctoria L., 1753 ",FOR,Asperula tinctoria
"Asphodelus albus subsp. delphinensis (Gren. & Godr.)  Z.Díaz & Valdés, 1996 ",MOY,Asphodelus albus subsp. delphinensis 
"Asphodelus ayardii Jahand. & Maire, 1925 ",FOR,Asphodelus ayardii
"Asphodelus cerasiferus J.Gay, 1857 ",MOY,Asphodelus cerasiferus
"Asphodelus fistulosus L., 1753 ",MOY,Asphodelus fistulosus
"Asphodelus macrocarpus subsp. macrocarpus Parl.,  1857 ",MOY,Asphodelus macrocarpus subsp. macrocarpus 
"Asphodelus ramosus L., 1753 ",MOY,Asphodelus ramosus
"Asplenium adiantum-nigrum L., 1753 ",FAI,Asplenium adiantum-nigrum
"Asplenium balearicum Shivas, 1969 ",FOR,Asplenium balearicum
"Asplenium ceterach L., 1753 ",FAI,Asplenium ceterach
"Asplenium cuneifolium Viv., 1806 ",FOR,Asplenium cuneifolium
"Asplenium fissum Kit. ex Willd., 1810 ",MOY,Asplenium fissum
"Asplenium fontanum (L.) Bernh., 1799 ",FAI,Asplenium fontanum
"Asplenium foreziense D.Legrand, 1885 ",MOY,Asplenium foreziense
"Asplenium jahandiezii (Litard.) Rouy, 1913 ",TFO,Asplenium jahandiezii
"Asplenium lepidum C.Presl, 1836 ",FOR,Asplenium lepidum
"Asplenium marinum L., 1753 ",FOR,Asplenium marinum
"Asplenium obovatum subsp. billotii (F.W.Schultz)  Kerguélen, 1998 ",MOY,Asplenium obovatum subsp. billotii 
"Asplenium obovatum subsp. obovatum Viv., 1824 ",MOY,Asplenium obovatum subsp. obovatum 
"Asplenium obovatum Viv., 1824 ",MOY,Asplenium obovatum
"Asplenium onopteris L., 1753 ",MOY,Asplenium onopteris
"Asplenium petrarchae (Guérin) DC., 1815 ",MOY,Asplenium petrarchae
"Asplenium ruta-muraria L., 1753 ",FAI,Asplenium ruta-muraria
"Asplenium ruta-muraria subsp. dolomiticum Lovis &  Reichst., 1964 ",DD,Asplenium ruta-muraria subsp. dolomiticum 
"Asplenium ruta-muraria subsp. ruta-muraria L., 1753 ",FAI,Asplenium ruta-muraria subsp. ruta-muraria 
"Asplenium sagittatum (DC.) Bange, 1952 ",MOY,Asplenium sagittatum
"Asplenium scolopendrium L., 1753 ",MOY,Asplenium scolopendrium
"Asplenium seelosii subsp. glabrum (Litard. & Maire)  Rothm., 1937 ",MOY,Asplenium seelosii subsp. glabrum 
"Asplenium septentrionale (L.) Hoffm., 1795 ",FAI,Asplenium septentrionale
"Asplenium trichomanes L., 1753 ",FAI,Asplenium trichomanes
"Asplenium trichomanes subsp. hastatum (Christ)  S.Jess., 1995 ",DD,Asplenium trichomanes subsp. hastatum 
"Asplenium trichomanes subsp. inexpectans Lovis, 1964 ",DD,Asplenium trichomanes subsp. inexpectans 
"Asplenium trichomanes subsp. pachyrachis (Christ)  Lovis & Reichst., 1980 ",MOY,Asplenium trichomanes subsp. pachyrachis 
"Asplenium trichomanes subsp. quadrivalens  D.E.Mey., 1964 ",MOY,Asplenium trichomanes subsp. quadrivalens 
"Asplenium trichomanes subsp. trichomanes L., 1753 ",MOY,Asplenium trichomanes subsp. trichomanes 
"Asplenium viride Huds., 1762 ",FAI,Asplenium viride
"Aster alpinus L., 1753 ",FAI,Aster alpinus
"Aster amellus L., 1753 ",MOY,Aster amellus
Aster willkommii subsp. catalaunicus (Willk. & Costa)  A.Bolòs ,FOR,Aster willkommii subsp. catalaunicus 
"Asteriscus aquaticus (L.) Less., 1832 ",MOY,Asteriscus aquaticus
"Astragalus alopecuroides L., 1753 ",FOR,Astragalus alopecuroides
"Astragalus alopecurus Pall., 1800 ",MOY,Astragalus alopecurus
"Astragalus alpinus L., 1753 ",MOY,Astragalus alpinus
"Astragalus arvetii Coulot, Rabaute, J.-M. Tison, Van Es  & Villaret ",DD,Astragalus arvetii
"Astragalus australis (L.) Lam., 1779 ",MOY,Astragalus australis
"Astragalus austriacus Jacq., 1762 ",MOY,Astragalus austriacus
"Astragalus boeticus L., 1753 ",FOR,Astragalus boeticus
"Astragalus cicer L., 1753 ",MOY,Astragalus cicer
"Astragalus danicus Retz., 1783 ",MOY,Astragalus danicus
"Astragalus depressus L., 1756 ",FAI,Astragalus depressus
"Astragalus echinatus Murray, 1770 ",FOR,Astragalus echinatus
"Astragalus genargenteus Moris, 2006 ",FOR,Astragalus genargenteus
"Astragalus glaux L., 1753 ",FOR,Astragalus glaux
"Astragalus glycyphyllos L., 1753 ",MOY,Astragalus glycyphyllos
"Astragalus greuteri Bacch. & Brullo, 2006 ",DD,Astragalus greuteri
"Astragalus hamosus L., 1753 ",MOY,Astragalus hamosus
"Astragalus hypoglottis L., 1771 ",MOY,Astragalus hypoglottis
"Astragalus incanus L., 1759 ",MOY,Astragalus incanus
"Astragalus monspessulanus L., 1753 ",MOY,Astragalus monspessulanus
Astragalus monspessulanus subsp. gypsophilus Rouy ,MOY,Astragalus monspessulanus subsp. gypsophilus 
"Astragalus monspessulanus subsp. monspessulanus  L., 1753 ",MOY,Astragalus monspessulanus subsp. monspessulanus 
"Astragalus onobrychis L., 1753 ",MOY,Astragalus onobrychis
"Astragalus penduliflorus Lam., 1779 ",MOY,Astragalus penduliflorus
"Astragalus scorpioides Pourr. ex Willd., 1802 ",DD,Astragalus scorpioides
"Astragalus sempervirens subsp. catalaunicus (Braun-  Blanq.) Laínz, 1969 ",MOY,Astragalus sempervirens subsp. catalaunicus 
"Astragalus sempervirens subsp. sempervirens Lam.,  1783 ",MOY,Astragalus sempervirens subsp. sempervirens 
"Astragalus sesameus L., 1753 ",MOY,Astragalus sesameus
"Astragalus stella Gouan, 1773 ",MOY,Astragalus stella
"Astragalus terraccianoi Vals., 1994 ",TFO,Astragalus terraccianoi
"Astragalus tragacantha L., 1753 ",TFO,Astragalus tragacantha
"Astragalus vesicarius subsp. vesicarius L., 1753 ",MOY,Astragalus vesicarius subsp. vesicarius 
"Astrantia major L., 1753 ",MOY,Astrantia major
"Astrantia minor L., 1753 ",MOY,Astrantia minor
"Athamanta cretensis L., 1753 ",FAI,Athamanta cretensis
"Athyrium distentifolium Tausch ex Opiz, 1820 ",MOY,Athyrium distentifolium
"Athyrium filix-femina (L.) Roth, 1799 ",FAI,Athyrium filix-femina
"Atocion armeria (L.) Raf., 1840 ",MOY,Atocion armeria
"Atocion rupestre (L.) Oxelman, 2001 ",FAI,Atocion rupestre
"Atractylis cancellata L., 1753 ",FOR,Atractylis cancellata
"Atractylis humilis L., 1753 ",FOR,Atractylis humilis
"Atriplex laciniata L., 1753 ",FOR,Atriplex laciniata
"Atriplex patula L., 1753 ",FAI,Atriplex patula
"Atriplex prostrata Boucher ex DC., 1805 ",MOY,Atriplex prostrata
"Atriplex rosea L., 1763 ",TFO,Atriplex rosea
"Atriplex tatarica L., 1753 ",FOR,Atriplex tatarica
"Atropa belladonna L., 1753 ",MOY,Atropa belladonna
"Avellinia festucoides (Link) Valdés & H.Scholz, 2006 ",FOR,Avellinia festucoides
"Avena barbata Pott ex Link, 1799 ",MOY,Avena barbata
"Avena barbata subsp. barbata Pott ex Link, 1799 ",MOY,Avena barbata subsp. barbata 
"Avena barbata subsp. lusitanica (Tab.Morais) Romero  Zarco, 1986 ",MOY,Avena barbata subsp. lusitanica 
"Avena fatua L., 1753 ",MOY,Avena fatua
"Avena nuda L., 1756 ",DD,Avena nuda
"Avena sterilis L., 1762 ",MOY,Avena sterilis
"Avena sterilis subsp. ludoviciana (Durieu) M.Gillet &  Magne, 1873 ",DD,Avena sterilis subsp. ludoviciana 
"Avena sterilis subsp. sterilis L., 1762 ",MOY,Avena sterilis subsp. sterilis 
"Avena sterilis subsp. trichophylla (K.Koch) Malzev, 1929 ",DD,Avena sterilis subsp. trichophylla 
"Avenella flexuosa (L.) Drejer, 1838 ",FAI,Avenella flexuosa
"Avenula pubescens (Huds.) Dumort., 1868 ",FAI,Avenula pubescens
"Avenula pubescens subsp. laevigata (Schur) Holub,  1976 ",MOY,Avenula pubescens subsp. laevigata 
"Avenula pubescens subsp. pubescens (Huds.)  Dumort., 1868 ",MOY,Avenula pubescens subsp. pubescens 
"Baldellia ranunculoides (L.) Parl., 1854 ",FOR,Baldellia ranunculoides
"Ballota nigra L., 1753 ",MOY,Ballota nigra
"Ballota nigra subsp. foetida (Vis.) Hayek, 1929 ",MOY,Ballota nigra subsp. foetida 
"Ballota nigra subsp. ruderalis (Sw.) Briq., 1893 ",DD,Ballota nigra subsp. ruderalis 
"Barbarea intermedia Boreau, 1840 ",MOY,Barbarea intermedia
"Barbarea rupicola Moris, 1827 ",MOY,Barbarea rupicola
"Barbarea verna (Mill.) Asch., 1864 ",MOY,Barbarea verna
"Barbarea vulgaris W.T.Aiton, 1812 ",MOY,Barbarea vulgaris
"Bartsia alpina L., 1753 ",FAI,Bartsia alpina
"Bartsia trixago L., 1753 ",MOY,Bartsia trixago
"Bassia laniflora (S.G.Gmel.) A.J.Scott, 1978 ",FOR,Bassia laniflora
"Bassia prostrata (L.) Beck, 1909 ",FOR,Bassia prostrata
"Bellardiochloa variegata (Lam.) Kerguélen, 1983 ",MOY,Bellardiochloa variegata
"Bellevalia romana (L.) Rchb., 1830 ",FOR,Bellevalia romana
"Bellevalia trifoliata (Ten.) Kunth, 1843 ",FOR,Bellevalia trifoliata
"Bellidiastrum michelii Cass., 1817 ",MOY,Bellidiastrum michelii
"Bellis annua L., 1753 ",MOY,Bellis annua
"Bellis bernardii Boiss. & Reut., 1852 ",TFO,Bellis bernardii
"Bellis perennis L., 1753 ",MOY,Bellis perennis
"Bellis sylvestris Cirillo, 1792 ",MOY,Bellis sylvestris
"Bellium bellidioides L., 1771 ",MOY,Bellium bellidioides
"Bellium nivale Req., 1825 ",TFO,Bellium nivale
"Berardia lanuginosa (Lam.) Fiori, 1904 ",MOY,Berardia lanuginosa
"Berberis aetnensis C.Presl, 1826 ",FOR,Berberis aetnensis
"Berberis vulgaris L., 1753 ",MOY,Berberis vulgaris
"Berula erecta (Huds.) Coville, 1893 ",MOY,Berula erecta
"Beta vulgaris subsp. maritima (L.) Arcang., 1882 ",MOY,Beta vulgaris subsp. maritima 
"Betonica hirsuta L., 1771 ",MOY,Betonica hirsuta
"Betonica officinalis L., 1753 ",MOY,Betonica officinalis
"Betula nana L., 1753 ",MOY,Betula nana
"Betula pendula Roth, 1788 ",FAI,Betula pendula
"Betula pubescens Ehrh., 1791 ",MOY,Betula pubescens
"Bidens cernua L., 1753 ",FOR,Bidens cernua
"Bidens radiata Thuill., 1799 ",DD,Bidens radiata
"Bidens tripartita L., 1753 ",MOY,Bidens tripartita
"Bidens tripartita subsp. bullata (L.) Rouy, 1903 ",DD,Bidens tripartita subsp. bullata 
"Bidens tripartita subsp. tripartita L., 1753 ",MOY,Bidens tripartita subsp. tripartita 
"Bifora radians M.Bieb., 1819 ",MOY,Bifora radians
"Bifora testiculata (L.) Spreng., 1820 ",MOY,Bifora testiculata
"Biscutella ambigua DC., 1811 ",FOR,Biscutella ambigua
"Biscutella apricorum Jord., 1864 ",FOR,Biscutella apricorum
"Biscutella arvernensis Jord., 1864 ",TFO,Biscutella arvernensis
"Biscutella brevicaulis Jord., 1864 ",DD,Biscutella brevicaulis
"Biscutella cichoriifolia Loisel., 1810 ",MOY,Biscutella cichoriifolia
"Biscutella didyma L., 1753 ",MOY,Biscutella didyma
"Biscutella didyma subsp. apula Nyman, 1878 ",DD,Biscutella didyma subsp. apula 
"Biscutella didyma subsp. didyma L., 1753 ",MOY,Biscutella didyma subsp. didyma 
"Biscutella flexuosa Jord., 1864 ",MOY,Biscutella flexuosa
"Biscutella intermedia Gouan, 1773 ",MOY,Biscutella intermedia
"Biscutella laevigata L., 1771 ",MOY,Biscutella laevigata
"Biscutella lima Rchb., 1832 ",MOY,Biscutella lima
"Biscutella rotgesii Foucaud, 1900 ",TFO,Biscutella rotgesii
"Biserrula epiglottis (L.) P.Coulot, P.Rabaute & J.-  M.Tison, 2014 ",FOR,Biserrula epiglottis
"Biserrula pelecinus L., 1753 ",MOY,Biserrula pelecinus
"Bistorta officinalis Delarbre, 1800 ",FAI,Bistorta officinalis
"Bistorta vivipara (L.) Delarbre, 1800 ",MOY,Bistorta vivipara
"Bituminaria bituminosa (L.) C.H.Stirt., 1981 ",MOY,Bituminaria bituminosa
"Blackstonia acuminata (W.D.J.Koch & Ziz) Domin,  1933 ",FOR,Blackstonia acuminata
"Blackstonia imperfoliata (L.f.) Samp., 1913 ",MOY,Blackstonia imperfoliata
"Blackstonia perfoliata (L.) Huds., 1762 ",MOY,Blackstonia perfoliata
"Blackstonia perfoliata subsp. intermedia (Ten.)  Zeltner, 1970 ",FOR,Blackstonia perfoliata subsp. intermedia 
"Blackstonia perfoliata subsp. perfoliata (L.) Huds.,  1762 ",MOY,Blackstonia perfoliata subsp. perfoliata 
"Blechnum spicant (L.) Roth, 1794 ",MOY,Blechnum spicant
"Blitum bonus-henricus (L.) C.A.Mey., 1829 ",FAI,Blitum bonus-henricus
